Latitude,Longitude,Name,Crop_Name,Duration,Height,height_numeric,duration_numeric,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_height,Correct
13.0680815,77.7613174,Bangalore Rural,Ragi,Low,Short,1,1,0.210393194,0.249297297,0.072882469,0.063723863,0.21018805,0.29599607,0.288819268,0.068056872,0.210245464,0.343379978,0.16495659,0.374726368,0.203626473,0.352206866,0.196969697,0.022186,0.155664838,0.005062555,0.061549963,0.081443714,0.023035113,0.058733457,0.01119433,0.108265425,0.153798257,0.305980259,0.093410755,0.090367191,0.081976578,0.105775644,0.233579639,0.266359447,0.301038062,0.396447468,0.348875593,0.091674926,0.022990107,-0.266693755,-3.581257048,-0.955922763,-0.863637276,0.94605484,-2.5131506,-2.182164589,-1.244076743,0.590883921,0.435180419,-0.196213839,-1.971503829,0.708216074,-3.040636333,-4.533409044,-17.24932841,-22.0039239,-16.33700008,-16.98696356,-18.36043417,-20.37686752,-20.04715529,-17.88174974,-16.27825355,-14.51760833,-19.12833814,-15.86282371,-17.16465991,-14.98290501,-14.01102148,2,False
13.0681623,77.7568912,Bangalore Rural,Maize,Medium,Medium,2,2,0.238095238,0.421364985,0.109129236,0.3984375,0.298396746,0.287609624,0.089143354,0.095267363,0.11409396,0.154958154,0.148828125,0.174787477,0.22800306,0.169117647,0.049733896,0.026583655,0.189983669,0.009776456,0.209796848,0.117292356,0.019261075,0.232373801,0.014481029,0.108879644,0.188352129,0.278225806,0.110225007,0.072735696,0.057752341,0.094905349,0.229902106,0.222425553,0.086594241,0.289473684,0.333031059,0.33060668,0.028955674,-9.023424744,-8.470515043,-9.496056602,-6.908665896,-9.096662072,-7.127689239,-9.972039453,-3.565586217,-6.715418353,-13.467357,-9.019540444,-5.261685795,-4.850215136,-11.05342827,-5.734804661,-18.69423907,-16.45287091,-21.18112509,-17.49331718,-16.41097488,-17.70777658,-17.97909195,-16.77802245,-16.67664592,-20.19578868,-17.62472149,-16.39319662,-12.98510936,-16.77269995,-10.85581039,1,False
13.0694663,77.7566952,Bangalore Rural,Redgram,Medium,Medium,2,2,0.232764505,0.397551676,0.096250609,0.287728218,0.188774286,0.198561726,0.139295607,0.090035513,0.15167666,0.121508886,0.150827599,0.157706093,0.16389993,0.149395509,0.078105526,0.017715944,0.168141593,0.004651697,0.164974197,0.06932876,0.026754691,0.036743783,0.015158924,0.112915129,0.103196347,0.428361499,0.066216216,0.106726949,0.079784915,0.094789705,0.36417363,0.303901108,0.151451187,0.549747657,0.464700098,0.41686747,0.029548989,-10.83020044,-10.24072542,-12.66104297,-11.44819719,-8.451801581,-9.417131316,-9.568740966,-11.7558685,-12.00062115,-6.938335563,-12.25284955,-9.271493345,-4.073841285,-10.97934454,-9.911383272,-16.29481441,-23.18023275,-20.04685437,-16.38138674,-15.79129149,-17.88271691,-17.86907869,-22.38101885,-21.33470813,-20.94421667,-21.88102227,-18.70845932,-16.47281955,-16.20476659,-14.21786674,1,False
13.0702174,77.7616344,Bangalore Rural,Redgram,Medium,Medium,2,2,0.268342219,0.269348389,0.077842324,0.2,0.220743959,0.216324353,0.23902651,0.175930828,0.234669242,0.206103393,0.171167593,0.273330175,0.129907701,0.269550272,0.093635251,0.015439219,0.227843137,0.005465766,0.176352705,0.134594477,0.025099299,0.023608563,0.018778961,0.162504397,0.234826287,0.319245626,0.058109834,0.133738173,0.093058419,0.106671994,0.396095873,0.352724293,0.430161167,0.492332526,0.443727599,0.384937238,0.026745596,-11.16899713,-11.81941999,-12.00330241,-7.25415876,-11.6063276,-8.212946602,-5.533179747,-6.707072372,-11.06499701,-4.856803834,-4.862773548,-6.729723984,-5.449975421,-3.613410868,-6.652407468,-19.71027104,-21.06739721,-21.18427196,-14.90571847,-22.77522824,-18.00769787,-19.35574689,-15.81277059,-20.09047517,-18.81970414,-13.76599971,-16.38570341,-13.95268528,-19.687014,-14.92272456,1,False
13.0707857,77.3993905,Bangalore Rural,Paddy,Medium,Short,1,2,0.290429043,0.257503949,0.189493433,0.349036403,0.24836772,0.334648582,0.001252236,0.403868032,0.199166982,0.510193133,0.271309771,0.144233144,0.55505165,0.382100189,0.24192921,0.031889732,0.125704169,-0.001806866,0.322531646,0.072086377,-0.009339615,0.03528328,0.008992642,0.239708623,0.193834044,0.015160165,0.232302405,0.072078826,0.042533634,0.166639571,0.236322361,0.175615807,0.24991453,0.355004955,0.29503408,0.497,0.027534418,-9.326200935,-8.218478777,-8.374063448,-6.750816666,-7.877150892,-6.904804094,-10.89042173,-8.24494789,-11.94434777,-6.050315408,-4.801418197,-8.611928092,-8.509875572,-5.511822922,-6.191670332,-19.17569071,-16.72310265,-12.59268242,-14.30145374,-13.90435129,-12.14977798,-16.0297576,-14.79316237,-16.10639496,-18.38262846,-17.45714323,-13.61585965,-13.53529216,-14.00084171,-12.79006228,3,False
13.0899394,77.7576078,Bangalore Rural,Ragi,Low,Short,1,1,0.276348548,0.292432432,0.11463719,0.137525658,0.258481422,0.344924285,-0.000976682,0.183946488,0.209430496,0.52232383,0.214754098,0.220346415,0.160391198,0.242708333,0.12565751,0.028781384,0.164735971,0.004312532,0.253471277,0.026981164,0.030417676,-0.00119837,0.01303097,0.131260038,0.487739634,0.489002357,0.177601619,0.157369348,0.052527535,0.101677419,0.132348844,0.030090377,0.200464509,0.318887262,0.368078176,0.528719529,0.030128913,-10.29780175,-8.597469583,-11.0162959,-5.178753847,-3.643370246,-3.422812008,-8.743000357,-9.999694168,-10.55953272,-8.62642169,-8.506034773,-10.94069248,-6.56694038,-8.872328806,-7.960739724,-17.40216128,-15.83315447,-16.33020493,-16.56305368,-13.01732812,-13.50026781,-16.69940319,-18.46825405,-15.80152225,-12.44469661,-15.91856086,-13.07233948,-12.37766059,-14.21379905,-15.74706678,2,False
13.0899623,77.757109,Bangalore Rural,Ragi,Low,Short,1,1,0.29256284,0.307692308,0.108746619,0.146538462,0.279069767,0.358106248,0.021087099,0.160552897,0.228146311,0.599786837,0.21301536,0.157740279,0.104543775,0.291627172,0.13804453,0.011477046,0.160662406,0.004645243,0.25,0.027789231,0.027604363,7.82e-05,0.014065527,0.177015755,0.437847454,0.548165552,0.171039522,0.167276453,0.051719395,0.096633256,0.200258816,0.047747444,0.217627528,0.305296779,0.341632089,0.431725741,0.035230352,-12.92411782,-8.29021148,-9.520636776,-6.874744798,-8.013299912,-6.398740153,-10.38064254,-9.404650588,-9.162215919,-10.53093071,-10.92045087,-10.46487676,-9.348209671,-9.101243676,-5.352863616,-15.46864418,-17.03037854,-14.6729587,-15.80870922,-15.44588204,-17.16406579,-18.09072766,-20.88653988,-21.71563182,-20.27945146,-17.25084698,-20.47292479,-14.31296102,-17.30359557,-14.31535598,2,False
13.0957782,77.7556163,Bangalore Rural,Jowar,Low,Medium,2,1,0.250765246,0.232271565,0.108181204,0.072362489,0.22018579,0.245835209,0.196978176,0.198595567,0.272851607,0.413467866,0.206299213,0.441225861,0.238649593,0.567431096,0.058608059,-0.001670246,0.255411255,0.00495356,0.273110128,0.018337885,0.022089277,0.052514322,0.006523921,0.136087665,0.33988695,0.234589041,0.074337949,0.105892048,0.043010753,0.088185552,0.188697629,0.364305428,0.276010318,0.236084453,0.260110294,0.267161961,0.033675799,-10.15999167,-12.02680987,-10.44084834,-5.390377538,-9.614528089,-5.884108695,-7.561575765,-12.4761626,-12.05873149,-11.43400993,-10.4771613,-7.892944647,-9.844609919,-8.366278015,-8.699156061,-18.22025698,-20.28405295,-20.78734241,-14.26497672,-15.02756748,-15.21545062,-16.10701513,-14.56320833,-16.83238356,-13.0407232,-18.55208635,-17.83050285,-16.5259538,-18.23466946,-16.56452226,1,False
13.0978016,77.7542719,Bangalore Rural,Jowar,Low,Medium,2,1,0.218133073,0.267012845,0.104837321,0.075812274,0.205055455,0.299248989,0.250806452,0.067346391,0.287626203,0.394967487,0.168650794,0.312543313,0.289781241,0.380937201,0.031936319,0.013586957,0.174962293,0.003600823,0.227177991,0.107482185,0.029464635,0.104098658,0.020663957,0.129652227,0.317727384,0.450268817,0.114156466,0.130151844,0.044193421,0.079315708,0.1184043,0.429541596,0.266159696,0.079604881,0.3128442,0.637362637,0.037256318,-13.04720886,-12.56364336,-12.35096518,-5.952617218,-10.99288772,-8.843873933,-7.735611855,-9.461176387,-10.25842213,-11.9446546,-11.1556311,-7.847907728,-6.363259874,-7.077653031,-6.483592218,-16.33259767,-16.19098202,-17.6457723,-9.410479222,-17.15296543,-14.3831216,-15.89581548,-16.37677158,-13.37579027,-19.04944977,-20.46594846,-16.23804182,-15.55662903,-15.2142489,-10.79328148,1,False
13.0989161,77.7551158,Bangalore Rural,Ragi,Low,Short,1,1,0.277942631,0.275462392,0.109618936,0.053115851,0.262468514,0.335413417,0.419450317,0.071297989,0.359311282,0.546666667,0.18491777,0.23996004,0.141210375,0.282708744,0.026353791,-0.000477783,0.186397985,-0.00157203,0.239358543,0.028064021,0.028474357,0.053175529,0.01562368,0.148716293,0.244311652,0.386810006,0.098998569,0.124314442,0.056040609,0.08732529,0.207231436,0.354742025,0.129198966,0.077969443,0.283816162,0.358746736,0.029816839,-11.53503826,-9.207267973,-6.846339822,-5.872925132,-5.479600043,-4.730598733,-8.17688857,-5.520254317,-6.462025404,-5.278721674,-6.908301315,-6.241439788,-4.235912576,-8.568039937,-8.075850153,-19.73168779,-22.10198931,-19.89030433,-14.00548893,-15.18771048,-18.0482876,-18.96832147,-13.18463227,-18.94447951,-13.9476264,-16.09179851,-12.90215385,-15.18901416,-15.672578,-13.12849085,2,False
13.0989875,77.7565325,Bangalore Rural,Ragi,Low,Short,1,1,0.118665811,0.114683816,0.081805838,0.07421638,0.137764197,0.095180431,0.08649408,0.094365474,0.122654462,0.06918239,0.127229955,0.142418931,-0.004807692,0.134341637,0.01510798,0.021498076,0.145181703,0.008617412,0.232392937,0.049045892,0.025674358,0.116117851,0.017173494,0.140335129,0.338068182,0.341421144,0.183539095,0.121026372,0.032168863,0.092467407,0.334405719,0.721455035,0.246536073,0.148576718,0.21323741,0.708477509,0.029866705,-7.587702289,-11.65692435,-11.2508241,-13.05076052,-8.664475542,-10.06898978,-11.75860557,-13.64720959,-11.93821876,-9.42274159,-12.73187711,-8.891275152,-9.703794694,-10.10107954,-9.326251362,-17.61150556,-18.99389087,-20.69971921,-14.90231152,-18.36815068,-19.37149401,-16.93703581,-17.65876372,-20.13824231,-20.2783495,-17.83606156,-12.92060321,-11.73682525,-15.09644124,-12.93637491,2,False
13.0993288,77.7552258,Bangalore Rural,Ragi,Low,Short,1,1,0.44955714,0.439815784,0.13283884,0.04596577,0.313342631,0.339627095,0.36993563,0.036478746,0.200463947,0.580877538,0.214719123,0.233836408,0.385548814,0.559593338,0.030673759,0.011140081,0.224446033,0.000690825,0.307197427,0.017403767,0.029322878,0.021913415,0.014915311,0.154545455,0.431622818,0.497506004,0.089685483,0.128024502,0.045146955,0.083463058,0.193872666,0.534309623,0.221930055,0.070966496,0.421330517,0.543396226,0.031369766,-8.957827962,-8.215927231,-9.634195486,-7.691861972,-8.112316571,-7.545124123,-10.23246606,-10.91905082,-11.65744707,-8.009580099,-5.179299363,-7.794545434,-10.20786429,-7.184976529,-7.037310612,-17.86959179,-19.10180014,-23.38240583,-15.55463845,-14.22965907,-12.84034856,-18.04178276,-15.02584402,-19.47174749,-18.92866139,-15.99561456,-18.79517607,-15.88121089,-16.25560683,-13.07111569,2,False
13.1035448,77.7532913,Bangalore Rural,Ragi,Low,Short,1,1,0.281838181,0.274226804,0.102546456,0.149062192,0.252758029,0.335919317,0.358114234,0.008221171,0.033877864,0.460958535,0.16084453,0.413575574,0.349881172,0.310879681,0.018747738,-0.004948786,0.182647552,0.002929992,0.312283561,0.004206501,0.029654176,-0.016447915,0.014912798,0.211202636,0.433040078,0.077002584,0.169156481,0.056630156,0.074208145,0.07919095,0.474743489,0.26846543,0.174823442,0.371667936,0.317327766,0.576688742,0.035045184,-8.393443691,-10.5759922,-7.900846154,-7.546266778,-9.781941726,-6.405053756,-5.952655953,-12.81182194,-7.189345822,-7.42455609,-8.349520661,-6.800764205,-4.529827525,-5.729741041,-9.137317563,-13.95741886,-15.76172788,-20.7727701,-16.29977765,-17.4773628,-16.35330375,-15.76008413,-18.96348385,-19.11070668,-12.7239468,-13.95496757,-12.76419828,-13.74057697,-19.58499815,-10.80717964,2,False
13.1035467,77.7532767,Bangalore Rural,Ragi,Low,Short,1,1,0.280171388,0.326467066,0.104801239,0.201072386,0.287921348,0.387373344,0.438604144,0.016519345,0.04458733,0.559685864,0.174119886,0.450437318,0.416284127,0.317155518,0.022588741,0.001365498,0.195704499,-0.002176482,0.385427238,-0.007708216,0.028776364,-0.019449481,0.014910286,0.22394015,0.475756121,0.070337662,0.180265049,0.058972587,0.075188817,0.079270391,0.498154982,0.304790314,0.181990163,0.401421624,0.352478632,0.656372549,0.033313766,-8.393443691,-10.5759922,-8.143755283,-7.546266778,-9.781941726,-6.405053756,-5.952655953,-12.81182194,-7.189345822,-7.42455609,-8.349520661,-6.800764205,-4.529827525,-5.722466011,-9.137317563,-13.95741886,-15.76172788,-20.11380226,-16.29977765,-17.4773628,-16.35330375,-15.76008413,-18.96348385,-19.11070668,-12.7239468,-13.95496757,-12.76419828,-13.74057697,-18.9881483,-10.80717964,2,False
13.1037255,77.7533121,Bangalore Rural,Ragi,Low,Short,1,1,0.220573183,0.220475977,0.087833219,0.117859725,0.233064319,0.23649815,0.285621057,0.008902929,0.057011729,0.319582245,0.169384232,0.340548341,0.447609611,0.281524299,0.00109561,-0.002356638,0.180303591,-0.001181078,0.359805511,-0.007142211,0.030561721,-0.014891551,0.01759134,0.171497585,0.411462789,0.091954023,0.161015505,0.064018161,0.070034961,0.080975833,0.453982666,0.327898551,0.294359678,0.360745262,0.332390382,0.498211548,0.030677555,-8.743550313,-10.99479796,-9.841278131,-6.857553034,-9.002713702,-7.176922321,-6.605806296,-10.7279049,-6.558729611,-6.532992145,-12.749314,-11.17539912,-2.788341552,-9.692624328,-9.03932434,-18.97110899,-18.57087881,-17.46185189,-13.71649934,-16.3126252,-14.48658596,-16.77002095,-15.61464917,-15.15042816,-15.83948798,-14.94735956,-12.56747485,-13.03084557,-14.83363071,-13.47171938,2,False
13.1043854,77.7488991,Bangalore Rural,Redgram,Medium,Medium,2,2,0.166944213,0.171761866,0.101659751,0.117719191,0.167352241,0.181558935,0.202749141,0.008270321,0.125628141,0.198049194,0.148903424,0.228654727,0.228057153,0.119345376,0.018494898,0.008567145,0.139985642,-0.000562184,0.221548079,0.036900369,0.030987905,0.014039125,0.013653647,0.146915224,0.213338534,0.167207248,0.132121212,0.111787072,0.130819838,0.079279067,0.245696401,0.156116811,0.080249176,0.415669626,0.399796541,0.56372796,0.038481348,-16.53801926,-13.6605155,-13.04304974,-10.55437069,-13.00226424,-7.032774876,-7.39087147,-5.586480451,-6.791501479,-8.540237455,-8.548639261,-7.482559726,-5.081482491,-6.923045199,-6.620029686,-27.52520123,-25.30908785,-26.60808049,-17.63408008,-18.17225636,-16.29146419,-20.5112694,-18.48007699,-22.50437637,-15.41136994,-20.03382123,-12.16505838,-15.66709155,-12.65083784,-13.09781744,1,False
13.1057154,77.7558408,Bangalore Rural,Ragi,Low,Short,1,1,0.306826707,0.339405561,0.098742666,0.303186023,0.27394958,0.394966359,0.353466026,0.034386455,0.096150897,0.547856431,0.181322957,0.488169966,0.454409193,0.587054691,0.085055262,0.005388601,0.214797136,-0.003691884,0.172722576,0.004320129,0.017342048,0.002639202,0.020015074,0.181846344,0.183600072,0.379841643,0.031467607,0.11948271,0.018041721,0.077687444,0.402298851,0.400036921,0.302846975,0.508786104,0.468916519,0.616580311,0.038550859,-9.941650005,-7.646705447,-9.098378818,-6.952107173,-6.513231035,-7.785595993,-9.649263245,-8.712274001,-7.392260724,-8.792819573,-8.542669493,-6.964814107,-3.477344314,-6.026645905,-7.393358173,-14.42254842,-15.00381038,-16.25615542,-13.82511323,-13.27635531,-16.15400676,-14.52872403,-15.9703391,-14.25332128,-16.31609362,-15.22849715,-15.14650206,-12.52627381,-12.40377253,-11.71171525,3,False
