Latitude,Longitude,Name,Crop_Name,Duration,Height,height_numeric,duration_numeric,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_duration,Correct
13.2198798,77.5528941,Bangalore Rural,Guava,Long,Medium,2,3,0.383790472,0.311892942,0.19184742,0.385964912,0.330743079,0.276957718,0.441004184,0.463404255,0.429090909,0.496478073,0.225411405,0.445803821,0.379712747,0.472896348,0.056613484,0.044209277,0.047117108,-0.001487037,0.210630354,0.116621067,0.014001077,0.044555531,0.034749801,0.166719393,0.159052925,0.041185834,0.12087123,0.075382803,0.026168679,0.139266706,0.08455775,0.033531592,0.191341205,0.334968778,0.071154962,-0.016393443,0.034961724,-7.169185842,-10.05382219,-7.58541802,-6.585128118,-9.000865963,-10.05502141,-10.80779964,-9.006182971,-8.898032447,-9.008566032,-8.709678782,-8.568276357,-6.140660664,-8.992969611,-9.0165579,-18.918012,-18.36893047,-16.89339369,-14.92047302,-14.60555116,-15.22849365,-18.9056275,-16.57986947,-15.77986346,-16.2942971,-15.75330723,-18.19184678,-15.84631409,-15.8571092,-13.27215345,1,False
13.21991,77.511075,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.306980656,0.213333333,0.116527037,0.28836425,0.209241952,0.143712575,0.000202853,0.014348614,0.306998445,0.326101249,0.168998924,0.342598187,0.344470431,0.066265757,0.061109691,0.031217774,0.056510504,-0.001428571,0.201956674,0.192857143,0.003881188,0.026164409,0.036560398,0.164412811,0.426373043,0.038395415,0.397734049,0.051330008,0.055060501,0.156187239,0.41839234,0.017300598,0.027278958,0.080941394,0.430103257,0.021639702,0.04504663,-12.73892998,-15.00369824,-10.62209444,-9.616633817,-7.372960339,-6.965938684,-12.18034275,-8.681785961,-7.229621802,-7.673466636,-12.47937901,-9.830386219,-10.74886545,-6.621901974,-7.727616565,-19.36608785,-20.61788723,-19.34045207,-11.39174864,-14.48890172,-12.70556924,-22.15578092,-17.61147056,-15.4158375,-12.79502937,-12.52807948,-13.45140438,-13.89408666,-13.76844177,-13.61036661,1,False
13.2199567,77.517515,Bangalore Rural,Chrysanthemum,Medium,Short,1,2,0.282372018,0.211401425,0.124458671,0.224539282,0.240226211,0.187859278,0.101458173,0.029246069,0.31302521,0.303080965,0.178840285,0.413370345,0.483325505,0.135843373,0.06840718,0.030324716,0.061036114,-0.002416563,0.28945472,0.29795122,0.003976336,0.037212658,0.036154073,0.141246477,0.504559915,0.231884058,0.277116189,0.066902577,0.048827586,0.157718631,0.300753834,0.037629957,0.107987819,0.135557758,0.328907048,0.024337558,0.031064969,-8.711461987,-10.24072166,-10.08906985,-7.617945879,-6.393111721,-7.436365331,-7.940748804,-13.91180319,-9.029411682,-10.56764883,-6.976157515,-5.89490668,-5.652309781,-8.423793704,-9.484831962,-15.94524709,-15.65700204,-17.51533067,-14.68183674,-14.85672592,-11.59835543,-15.7600238,-14.99059055,-16.25453342,-13.50071336,-13.60957238,-14.34943804,-19.25753282,-13.34996782,-14.92607161,1,False
13.2199617,77.517495,Bangalore Rural,Chrysanthemum,Medium,Short,1,2,0.35032175,0.235772358,0.130878187,0.309306344,0.288395062,0.227645985,0.096725968,0.029519947,0.410947485,0.453600208,0.200889248,0.476930792,0.532924553,0.143700482,0.066145899,0.03059119,0.057736721,-0.000327204,0.30055435,0.30268511,0.002885859,0.038942258,0.036803779,0.145888594,0.518510308,0.276748104,0.302618495,0.067680776,0.050363687,0.159717964,0.285861713,0.041577528,0.053761037,0.133377425,0.32789044,0.023486701,0.032221318,-8.711461987,-10.24072166,-10.08906985,-7.617945879,-5.739337953,-7.436365331,-7.940748804,-13.91180319,-9.029411682,-10.56764883,-6.976157515,-5.89490668,-5.652309781,-8.423793704,-9.484831962,-15.94524709,-15.65700204,-17.51533067,-14.68183674,-18.2846008,-11.59835543,-15.7600238,-14.99059055,-16.25453342,-13.50071336,-13.60957238,-14.34943804,-19.25753282,-13.34996782,-14.92607161,1,False
13.220025,77.510665,Bangalore Rural,Green Fodder,Medium,Medium,2,2,0.198623402,0.173600523,0.104096204,0.189941406,0.169388252,0.117126776,0.027817482,-0.006683003,0.196841182,0.198154024,0.150094201,0.260027285,0.265421619,0.125376993,0.041902884,0.034267913,0.05582388,0.002532961,0.197238205,0.267558528,0.007400334,0.021054526,0.036439607,0.148716181,0.553314121,0.042001292,0.493267652,0.046024245,0.034571534,0.166232572,0.489840205,0.024261603,0.016760535,0.079234973,0.527394958,0.003178722,0.045083048,-11.16138172,-12.44539517,-12.91420944,-10.5948006,-11.84079438,-9.600810497,-12.44006772,-11.92605721,-10.49490589,-10.63139291,-11.50178815,-9.382705279,-10.6773141,-8.653419438,-7.881165364,-17.13065728,-17.93626242,-21.03764942,-16.04672798,-16.42332958,-21.22905935,-21.75734351,-22.75109176,-17.59609447,-14.40187206,-15.81819507,-16.3128332,-14.52360685,-15.93712194,-12.29166359,1,False
13.22013,77.5089983,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.261818182,0.21781042,0.12046332,0.282078473,0.195522388,0.182644843,0.024043224,0.103737338,0.273964497,0.310713164,0.167808219,0.32285799,0.311004785,0.172696755,0.039287834,0.033746755,0.06118783,0.001300221,0.209034544,0.192973896,0.008838283,0.024099698,0.038764153,0.152917163,0.374168387,0.100522018,0.248363636,0.051010982,0.032564322,0.157686454,0.392197125,0.070346902,0.053476418,0.163449163,0.451275903,-0.013914443,0.04826982,-12.6146922,-11.2419367,-15.15891292,-8.401496128,-9.995597993,-10.18812843,-8.133362966,-13.25744669,-10.75409391,-9.617910189,-9.0968216,-9.69989904,-8.062251215,-6.263039519,-12.17575211,-18.64742497,-22.11419833,-17.01653278,-16.83784654,-14.70951229,-15.22626737,-18.45908936,-19.67268425,-18.9357257,-16.61490553,-15.79369022,-12.57059529,-12.69303785,-17.95209451,-14.49422905,1,False
13.2201383,77.4989633,Bangalore Rural,Bluegrapes,Long,Medium,2,3,0.40486618,0.254013635,0.144790257,0.36879771,0.306375589,0.243546577,0.017441483,0.225340818,0.431103948,0.531223747,0.205822887,0.320879121,0.534861509,0.072815534,0.049142857,0.035184647,0.064626627,0.000649098,0.214570064,0.42872969,0.013519332,0.022523382,0.037962425,0.146936157,0.6543252,0.111642542,0.436134818,0.082083572,0.041983988,0.164219359,0.604964167,0.142221641,0.040188727,0.378503805,-0.012865334,0.024779568,0.044651619,-8.184654646,-8.465262432,-8.731487155,-5.217049202,-8.231072145,-7.897852688,-7.831795396,-8.892526174,-7.70534483,-7.110221398,-9.356594744,-9.544115324,-7.433745288,-7.301278175,-8.075569272,-9.391286379,-9.657974467,-10.38633019,-6.523863566,-11.4064075,-11.53392336,-9.32961055,-12.52670656,-12.42066392,-13.72691739,-9.233746898,-13.15227485,-12.43170769,-11.46604566,-10.24973013,1,False
13.2202214,77.5507324,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.191101581,0.189659585,0.128777124,0.168956044,0.186640472,0.176503497,0.232351306,0.224571429,0.240850059,0.231888643,0.151802266,0.276813656,0.17012987,0.355728854,0.066683348,0.041839791,0.054611521,-0.000194414,0.210115132,0.055282555,0.016428381,0.084639498,0.033277377,0.170629144,0.456384324,0.059243823,0.100441626,0.073659942,0.031918143,0.148849403,0.171060515,0.059988002,0.204815012,0.224897401,0.366746699,0.020311012,0.034784685,-18.5803084,-14.76831374,-11.79837548,-12.08783386,-10.99259817,-7.451287876,-13.28124034,-10.71849696,-9.069544054,-9.644854097,-10.81815831,-9.900347227,-9.006487217,-7.024688556,-9.929394146,-29.65919918,-23.40433061,-20.07367288,-12.83817723,-13.04567013,-16.46518388,-26.65362094,-20.66194809,-15.97127125,-15.96681577,-14.38495828,-15.66151373,-12.60243615,-11.59908017,-12.08804999,1,False
13.220231,77.5161124,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.206918642,0.18946932,0.108655617,0.213084112,0.184050571,0.17744219,0.006360534,0.017591209,0.188053097,0.183539095,0.151084973,0.246301583,0.2349578,0.063543651,0.056534315,0.033312494,0.063215758,-0.002301269,0.236226058,0.23855601,0.038903706,0.039787256,0.035312531,0.165091367,0.544111613,0.142586751,0.373517153,0.051005598,0.060300473,0.166971359,0.334772182,0.009670878,0.059019608,0.192355977,0.415077605,0.060951347,0.035471826,-20.46483507,-14.1827137,-17.28042175,-11.40697026,-14.0883712,-11.23949364,-13.33828297,-13.68776382,-9.577246208,-7.283726135,-9.949347706,-9.720084583,-11.62432241,-9.01439944,-9.148444693,-25.48693705,-22.64369987,-23.28715848,-16.7326174,-16.45932998,-18.18511231,-21.81024809,-15.2691999,-15.74889223,-18.66042009,-16.65018989,-12.59468175,-15.33556981,-14.70191581,-14.36724278,1,False
13.220249,77.5161154,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.204753199,0.192439863,0.118287507,0.230807453,0.179460581,0.185683401,0.004498461,0.028847961,0.18810749,0.208585248,0.150153218,0.264920335,0.240182129,0.061309318,0.060578065,0.032545698,0.063212435,-0.001970573,0.23488045,0.241723692,0.038751148,0.037943696,0.033375746,0.153519131,0.553820871,0.125923692,0.382651391,0.054881212,0.056494247,0.162939297,0.330774766,0.014389049,0.062189549,0.185635359,0.429628018,0.056896091,0.042232022,-20.46483507,-14.1827137,-17.28042175,-11.40697026,-12.53476441,-11.23949364,-15.7071645,-12.62118675,-9.577246208,-8.295745112,-9.949347706,-9.720084583,-11.62432241,-9.01439944,-9.148444693,-25.48693705,-22.64369987,-23.28715848,-16.7326174,-17.26119823,-18.18511231,-20.96354053,-16.156926,-15.74889223,-15.89354069,-16.65018989,-12.59468175,-15.33556981,-14.70191581,-14.36724278,1,False
13.2202983,77.5043233,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.230693797,0.166080662,0.106851395,0.195614035,0.19108743,0.185131195,0.072552448,0.042464942,0.254719562,0.204027557,0.162856565,0.268157829,0.309781022,0.019817677,0.037980601,0.036907196,0.059458219,6.49e-05,0.2092628,0.245397444,0.023341523,0.02776204,0.039306358,0.08850121,0.453937096,0.038243499,0.15687141,0.052395689,0.091129477,0.15415262,0.417267669,0.063719677,0.05639931,0.097046414,0.079000532,0.028932277,0.043485675,-10.79452577,-11.79890817,-14.98876893,-10.52236171,-5.936831135,-9.144415383,-12.21419103,-12.49538425,-10.05872928,-11.59363454,-11.21234275,-12.4162835,-11.16553243,-11.52874557,-5.969330597,-20.51570564,-24.09589502,-20.60753169,-15.17331406,-13.68344391,-16.4824778,-17.19515041,-21.23831269,-17.38164567,-19.34409206,-13.43736048,-14.38207508,-14.06215645,-16.09337598,-16.46015411,1,False
13.2203171,77.5161879,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.198067633,0.184512222,0.116442148,0.218141484,0.16831155,0.168253968,0.008663266,0.020324427,0.178716745,0.168762409,0.155399835,0.230230522,0.213267204,0.043592814,0.058483375,0.027718169,0.062102463,-0.000851175,0.215250965,0.24720643,0.042757095,0.03627471,0.037240298,0.156083829,0.536244171,0.135990076,0.367239102,0.053660566,0.05373444,0.164379384,0.338783361,0.022963846,0.066191042,0.184411969,0.431686693,0.060208961,0.040277543,-16.85949582,-13.03629847,-13.30231763,-9.057207831,-12.53476441,-12.05344716,-13.86771483,-11.28299565,-8.126978124,-8.549108153,-10.64323628,-11.92613788,-13.04008393,-9.175528055,-10.759415,-19.61109862,-20.12211061,-25.34784699,-14.32812724,-17.26119823,-17.23928554,-23.86091992,-16.92805585,-16.75647094,-17.57517512,-17.96259453,-12.54323967,-15.94729873,-17.75371544,-15.88092638,1,False
13.2203581,77.5114448,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.26401631,0.202878992,0.111696126,0.253875476,0.191670848,0.203333333,0.012122821,-0.003480222,0.231995885,0.250998137,0.16448203,0.275242047,0.257007967,0.09572934,0.054612546,0.032222015,0.05536058,0.003699617,0.229463056,0.179429217,0.012471205,0.023208128,0.03350591,0.139674379,0.410023371,0.038762887,0.442833547,0.054757533,0.0443577,0.160653716,0.360020015,0.022089698,0.015546957,0.083835109,0.450682261,0.012733232,0.049776922,-9.996056058,-13.50055397,-13.06763062,-8.263626005,-7.574433346,-12.51767759,-12.20220219,-13.44336919,-12.43116876,-10.34152692,-12.34957013,-11.04213047,-9.57286144,-11.57219888,-7.918916936,-17.00373195,-24.20625767,-20.00906276,-15.1175821,-16.6652867,-17.16144477,-17.64131871,-22.15949047,-16.67580225,-16.93005294,-16.89226598,-16.5595696,-15.19839749,-16.00747255,-16.28448678,1,False
13.2203944,77.5298973,Bangalore Rural,Maize,Medium,Medium,2,2,0.098908369,0.161815223,0.09435337,0.168648859,0.106231231,0.13579774,0.100973574,0.141399417,0.101400934,0.069648562,0.127780842,0.102757664,0.043248014,0.255523535,0.050482826,0.038617139,0.059716949,-6.5e-05,0.150694692,0.02098625,0.023995686,0.078797725,0.035545954,0.152654138,0.079959367,0.063829787,0.185051958,0.045490506,0.048073586,0.141708842,0.204291258,0.017516422,0.037406032,0.25530606,0.074226993,0.002964495,0.041925713,-7.028951367,-6.818505129,-12.50894699,-7.16784557,-8.480865116,-3.39029828,-7.499969834,-9.118895518,-8.364845085,-7.496162393,-7.067749912,-5.755247935,-5.211945348,-10.02033917,-6.445564864,-19.07697347,-16.89473814,-19.68029617,-14.86784775,-14.29280824,-17.88929014,-16.72547843,-18.58830065,-15.76733649,-19.05904082,-16.32833239,-14.39872502,-11.93768894,-10.13573915,-15.14448957,1,False
13.2204064,77.5299107,Bangalore Rural,Maize,Medium,Medium,2,2,0.128632313,0.162041529,0.106147314,0.175757576,0.13757429,0.160050676,0.119047619,0.153576788,0.150143974,0.115577889,0.143891748,0.145702306,0.11143966,0.261829653,0.056363859,0.039185097,0.064327485,-0.002396218,0.202578629,0.02641587,0.023945062,0.086137281,0.031032795,0.158558858,0.240066531,0.062405853,0.161674549,0.046895054,0.050240881,0.146232057,0.273826802,0.014791503,0.046528404,0.256154565,0.049703602,0.006276012,0.03854441,-7.028951367,-6.818505129,-12.50894699,-7.16784557,-8.480865116,-2.642542558,-7.499969834,-9.118895518,-8.364845085,-7.496162393,-7.067749912,-5.755247935,-5.97552795,-10.02033917,-6.129954464,-19.07697347,-16.89473814,-19.68029617,-14.86784775,-14.29280824,-15.8009156,-16.72547843,-18.58830065,-15.76733649,-19.05904082,-16.32833239,-14.39872502,-15.29070056,-10.13573915,-13.14300282,1,False
13.220445,77.5067517,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.322629969,0.23305932,0.129452317,0.312591152,0.238899614,0.193991853,0.032604885,0.07328362,0.412971175,0.395773844,0.177076891,0.421432537,0.434325744,0.074963821,0.053369405,0.033677507,0.059515728,-0.001296512,0.257013575,0.231547619,0.008949118,0.029254068,0.037869249,0.089498328,0.502130523,0.033626245,0.274912892,0.057233184,0.048568322,0.157201898,0.402228977,0.073380992,0.132596685,0.1531151,0.186243985,-0.008789406,0.045533241,-14.82668522,-9.58686865,-10.99913571,-8.086441305,-8.625002639,-6.223702996,-7.10374197,-7.285039968,-6.658129989,-5.502075704,-7.449833567,-8.340061412,-11.21363909,-4.244626779,-8.254673934,-13.70561213,-17.26198106,-22.34578,-9.173690393,-16.16372069,-13.06740931,-14.17758175,-16.24774835,-14.59529151,-14.31320037,-11.68876362,-16.59420935,-15.48908772,-11.64538607,-15.00708371,1,False
13.2204476,77.5297,Bangalore Rural,Maize,Medium,Medium,2,2,0.205321684,0.210776545,0.119225037,0.235215651,0.19189719,0.220818162,0.071796906,0.255595668,0.233198208,0.223415029,0.154999051,0.230828965,0.218133536,0.214569227,0.061746438,0.037818983,0.060609519,0.002004786,0.216920609,0.018529708,0.020247971,0.087792064,0.033391916,0.161784288,0.231147829,0.062246856,0.219283066,0.044505711,0.035656692,0.146918013,0.199098422,0.016497968,0.027157838,0.271927067,0.071882374,-0.00249853,0.043692405,1.543448163,1.947161718,0.320062184,0.612040458,-0.459645241,1.817630901,1.877621221,2.238105687,1.759911206,1.310481396,1.179196411,-0.211290705,0.655694713,0.425086861,0.423192233,-7.237796357,-7.390353719,-9.174931024,-7.09538728,-7.049750296,-7.478515828,-7.650852962,-8.150253621,-8.749252636,-7.440131453,-7.018184594,-6.581548742,-6.21387036,-8.089017487,-7.057151517,1,False
