Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_height,Correct
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.188801736,0.197405413,0.229328007,0.228169635,0.175729752,0.22089389,0.343248427,0.158123836,0.506844401,0.188237548,0.320468247,0.320468247,-12.61581429,-14.14167153,-12.64307393,-9.252368949,-8.162406257,-8.386955694,-10.2800446,-6.415070331,-6.642958356,-4.854050798,-6.434180399,-12.16254158,-6.761656983,-9.236755959,-10.98941151,-25.51040497,-22.23592636,-25.28527757,-21.7653127,-16.5370053,-17.48715852,-19.85355653,-18.72977354,-19.00159085,-12.49420809,-18.74748732,-16.90537545,-12.30166795,-13.76630971,-16.33911139,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.188801736,0.197405413,0.229328007,0.228169635,0.175729752,0.22089389,0.343248427,0.158123836,0.506844401,0.188237548,0.320468247,0.320468247,-11.47380112,-14.14167153,-12.64307393,-9.252368949,-8.749771357,-8.386955694,-10.2800446,-6.415070331,-6.596041201,-4.854050798,-6.434180399,-10.75455354,-6.761656983,-9.236755959,-10.98941151,-20.56754235,-22.23592636,-25.28527757,-21.7653127,-17.61546196,-17.48715852,-19.85355653,-18.72977354,-15.80601052,-12.49420809,-18.74748732,-14.55612749,-12.30166795,-13.76630971,-16.33911139,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.310257852,0.279524922,0.290795267,0.332756788,0.323664874,0.187687814,0.065331399,0.167645633,0.547813773,0.370374829,0.338120818,0.417605549,-9.37404473,-7.897095373,-6.806467952,-7.450432574,-8.626219816,-9.299122931,-6.368915077,-5.729513966,-12.04660455,-7.425160205,-8.375167317,-9.948407849,-5.438801593,-6.572917579,-7.912774259,-19.02368911,-16.00870666,-15.2661693,-19.97854518,-15.49368614,-19.20440164,-16.57388623,-17.19995514,-21.37909541,-15.91930714,-19.86978635,-20.66619351,-14.98413435,-15.89438169,-14.27755367,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.171853289,0.192280278,0.18200855,0.259610742,0.266633868,0.230822518,0.235213146,0.157852009,0.551724374,0.300567329,0.446548402,0.446548402,-14.64407791,-12.49632787,-10.61753266,-12.7596047,-10.16619309,-10.18884145,-9.235301907,-9.711361548,-11.89078666,-8.574661766,-10.92907582,-12.81557844,-10.07989777,-10.4065005,-9.543646307,-23.39615607,-19.23938096,-21.22526897,-21.38078599,-19.9058585,-20.36210273,-22.06902911,-20.0020136,-18.64295578,-20.45480088,-17.49240569,-18.75781611,-18.73783992,-16.19345717,-15.08120329,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.171853289,0.192280278,0.18200855,0.259610742,0.266633868,0.230822518,0.235213146,0.157852009,0.551724374,0.300567329,0.446548402,0.446548402,-14.4156707,-12.49632787,-10.61753266,-12.7596047,-10.16619309,-13.28057535,-9.235301907,-9.711361548,-11.89078666,-8.574661766,-10.92907582,-13.99473351,-10.07989777,-10.4065005,-9.543646307,-21.56635921,-19.23938096,-21.22526897,-21.38078599,-19.9058585,-18.0555078,-22.06902911,-20.0020136,-18.64295578,-20.45480088,-17.49240569,-26.26438798,-18.73783992,-16.19345717,-15.08120329,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.279822648,0.286281884,0.269709587,0.357616752,0.355290473,0.225874364,0.109295614,0.157501787,0.392403454,0.255218267,0.350114584,0.350114584,-13.62743911,-9.826176737,-9.738573462,-8.338454354,-11.07227241,-8.278022463,-9.93504196,-8.978689232,-7.500512831,-7.70128677,-9.591284378,-15.1681282,-7.787481767,-7.857678108,-8.722860423,-18.88594705,-14.78433447,-17.23935537,-16.23327942,-15.85907067,-17.16087213,-17.58355786,-16.58400311,-17.64179432,-14.43008761,-20.06618344,-17.14289548,-11.98941174,-16.83556933,-16.9502685,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.284333378,0.32271418,0.269364506,0.313867152,0.314700246,0.123705536,0.44412455,0.038404293,0.628047705,0.294782877,0.232363835,0.177450836,-14.27708817,-13.40721552,-9.82455083,-12.41151084,-13.09867033,-11.6317643,-11.34486495,-12.03755454,-9.860985455,-8.685198776,-12.25926466,-13.80539924,-6.421697878,-9.120520659,-8.95144521,-20.16019193,-16.8886582,-21.77220454,-16.76850929,-15.67647333,-20.90475882,-18.29647589,-15.81641466,-19.90378147,-19.22158255,-20.04163233,-20.08582499,-17.65766307,-15.61462471,-15.40299896,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.183566555,0.190267906,0.141598374,0.13870956,0.131795496,0.116072848,0.297317982,0.035387222,0.547014892,0.289969116,0.108853795,0.098057367,-10.93321241,-8.92621733,-8.032665588,-8.623567555,-8.373672265,-7.492993708,-5.999243777,-6.099793493,-9.232755097,-4.07215312,-8.12948508,-8.465766043,-5.889092946,-11.31696263,-6.604699241,-18.38295679,-15.85190515,-22.04178385,-18.52434541,-16.52290797,-17.26085379,-20.51213854,-20.52459493,-19.21240006,-15.4425523,-19.51733499,-21.07801997,-17.40596168,-14.7558961,-18.78212281,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.240585327,0.293448955,0.235066801,0.129588947,0.21269837,0.170885623,0.266340226,0.156973809,0.284258276,0.204831034,0.324695706,0.087955847,-9.903063265,-13.8567062,-11.89532189,-10.21021689,-10.01179502,-8.631783744,-7.462233476,-9.371694691,-11.42098314,-10.43513574,-9.1382886,-8.96119837,-3.342031417,-7.241878953,-9.830998044,-25.60013335,-18.59409842,-17.81099399,-19.80666901,-16.37946319,-17.54419362,-20.10629683,-14.32746109,-18.92310001,-16.08585729,-17.61473747,-18.25276116,-14.01598797,-16.61986528,-15.92311009,2,False
Ragi,Low,Short,Krishnagiri,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}",0.227169514,0.249823049,0.259387046,0.121837474,0.208657444,0.215070486,0.254157066,0.14336887,0.320988476,0.236115605,0.322076946,0.093969733,-14.52261027,-15.59981402,-11.83084962,-9.449477269,-9.027952976,-11.75047701,-8.61647453,-7.782546124,-14.9886832,-9.58098603,-8.484332194,-9.112944681,-5.331582477,-7.332070659,-11.94454118,-17.88175123,-18.34100666,-16.9897596,-16.2020694,-16.65400316,-18.82539599,-21.51094238,-17.33331278,-21.38211275,-19.40512959,-17.78747224,-13.34515659,-16.68505997,-19.13727512,-14.98556342,2,False
