Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_duration,Correct
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.222271472,0.24025467,0.261887908,0.221814841,0.121134877,0.116406865,0.094474696,0.126960248,0.162975818,0.088057488,0.65419215,0.157924011,-9.86670749,-9.063324748,-10.42172757,-8.178334399,-7.399545431,-11.93516558,-10.69783069,-7.103877503,-12.47158438,-9.074321451,-7.348206266,-8.147260686,-11.11966553,-8.075472049,-4.252060424,-15.79208652,-18.2417338,-22.45669186,-15.66604233,-15.9040706,-19.60454549,-20.90203031,-15.19253819,-18.4334421,-14.2540201,-15.87306287,-17.15561704,-15.38252105,-15.03544396,-14.19621915,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.40813002,0.446264327,0.453957617,0.401917964,0.067613132,0.057897314,0.09149605,0.410066098,0.460960984,0.091722466,0.402526647,0.166172951,-8.405715789,-9.288145354,-7.769682177,-10.3972843,-7.321025614,-8.371722216,-8.30816683,-12.39192242,-9.065925177,-8.062279382,-10.11201309,-9.394945665,-6.312882206,-10.15301905,-7.369701192,-17.74593191,-13.87741705,-15.83701327,-14.81604723,-11.59700915,-15.28200541,-20.8191458,-15.36765154,-17.02498532,-14.55604435,-20.33420083,-15.05143662,-16.11048926,-15.9827392,-13.68636925,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.297604203,0.254025519,0.228681713,0.312224805,0.105256855,0.166688353,0.099818163,0.097012892,0.449104488,0.079377994,0.341618657,0.51875191,-12.54970324,-12.17883097,-14.21073501,-10.03040989,-8.246096338,-8.954668734,-8.61954063,-9.244241254,-8.620818457,-12.21492865,-9.398608601,-9.330976145,-9.104113057,-9.734629758,-10.08193474,-17.24843109,-18.28799621,-16.7434228,-14.02106386,-15.88214197,-19.59832745,-20.1387885,-16.3618349,-14.67470001,-16.98235757,-21.39554459,-23.51432634,-14.6569481,-16.16444142,-10.84641528,1,False
Bluegrapes,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.189844519,0.188703716,0.176015124,0.183558807,0.136943012,0.151717871,0.109874569,0.169830099,0.255378306,0.064491555,0.36877501,0.438261807,-11.54993817,-12.81093362,-10.55524243,-7.465934726,-4.289212556,-3.138686128,-7.115506571,-7.557874747,-7.741834321,-6.34551472,-11.63898252,-7.747102546,-6.215779872,-8.008147638,-7.721170104,-20.83069974,-24.6277251,-19.52195198,-15.83251766,-11.12258049,-14.13092114,-15.55227287,-20.42852335,-20.63858929,-17.98521303,-20.6763729,-19.5894448,-12.69436268,-15.82051415,-12.01827834,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.281373262,0.257861674,0.256454736,0.23689431,0.203791469,0.07518927,0.043471076,0.233133912,0.409044981,0.057928689,0.5806095,0.433201075,-9.218578984,-10.58857333,-9.027579452,-3.17203253,-6.868569645,-9.670793235,-8.950339217,-8.688832946,-11.21386245,-6.835118953,-12.15997144,-7.587463523,-9.14730759,-10.27651229,-9.687123967,-19.06655354,-20.91190667,-17.93604263,-13.45694552,-15.23992334,-13.46764028,-14.22406356,-14.17431596,-20.9538817,-15.91285308,-25.01925353,-16.78912732,-13.30819492,-18.49524315,-13.37995025,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.168722659,0.183398053,0.166041777,0.182432815,0.153862461,0.08359351,0.041931354,0.186965793,0.220900699,0.056848794,0.569273293,0.44039017,-9.218578984,-9.7823421,-9.020173556,-3.17203253,-8.702399673,-9.670793235,-9.107974699,-8.938597796,-11.21386245,-7.780904744,-10.73096003,-6.493875797,-9.14730759,-10.44882977,-9.050113457,-19.06655354,-19.06090051,-21.02373954,-13.45694552,-14.96172145,-13.46764028,-14.98837296,-14.5641532,-20.9538817,-15.08282475,-21.20804624,-15.36241703,-13.30819492,-18.98460959,-13.14076418,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.255492628,0.225049317,0.239090174,0.201177537,0.138762787,0.104506396,0.042673547,0.179464161,0.336355925,0.057830267,0.312681496,0.371932417,-7.788735126,-7.600316528,-10.42266474,-14.2737627,-10.8302878,-10.18255295,-11.31778652,-15.18809326,-14.54831716,-9.692809432,-11.47053402,-10.31153398,-9.110939499,-10.54058146,-7.125412149,-18.91680436,-21.21843406,-20.44330645,-13.69210962,-18.41456834,-12.62304209,-18.24943155,-19.35564402,-19.55966719,-18.1833454,-20.41677805,-17.40038348,-16.08757916,-20.07415135,-13.94523801,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.321227849,0.25835216,0.322132319,0.304728866,0.145416752,0.120280743,0.043604657,0.152768672,0.106345098,0.059921525,0.506070495,0.403283715,-7.680026591,-9.607727142,-11.00795851,-14.2737627,-10.6988997,-10.18255295,-11.15610485,-13.82199271,-13.70107868,-10.06743143,-12.17276455,-10.92822269,-9.017986974,-10.86156541,-6.399400476,-18.015843,-22.10442016,-21.36020144,-13.69210962,-19.71269552,-12.62304209,-18.01317131,-19.35167731,-21.91192826,-15.63894068,-18.1839106,-15.29997749,-16.7526559,-18.86250485,-14.85798442,1,False
Drumstick,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.190407753,0.242678598,0.263994664,0.211950123,0.071017109,0.194713384,0.115205571,0.257777125,0.171890898,0.078344129,0.348893046,0.170298854,-13.1356625,-10.35133442,-8.089906568,-8.739854592,-7.347919869,-10.40031517,-7.272542804,-6.134980415,-8.96114029,-8.423710872,-8.201561584,-12.15651088,-8.755044566,-9.151282632,-7.608921306,-19.64507482,-16.76436492,-18.40412722,-15.9193318,-19.65326429,-16.09096181,-13.92060762,-18.80353415,-17.23458176,-15.9071282,-16.73291057,-17.2942751,-18.7198283,-15.05135482,-15.82623885,1,False
Fruits,Long,Medium,Bangalore Rural,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.212069929,0.245886058,0.285955697,0.398864567,0.385519564,0.160572618,0.178861126,0.374381751,0.217601599,0.060821448,0.244390726,0.014993846,-11.24327378,-7.128047324,-9.939595757,-4.576615529,-14.3157729,-10.20256109,-12.59858871,-12.86899269,-12.32970877,-12.15977138,-8.326552397,-13.10801686,-7.191739402,-15.63679325,-8.087588169,-17.21838319,-16.42652625,-20.21036123,-12.50281436,-20.33260628,-11.16065334,-17.32889366,-18.18111889,-24.61401484,-20.51340342,-17.47368436,-17.85970634,-12.87770538,-18.10786057,-20.51713968,1,False
