Latitude,Longitude,Crop_Name,VV_0,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VH_0,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14
12.8315734,77.4268277,Ragi,-10.33833601,-12.26937873,-6.054317768,-11.71824385,-7.721689008,-4.913732223,-8.94753839,-9.496479589,-6.591562614,-8.653491107,-7.797532814,-9.950200757,-9.738933903,-8.787884601,-10.17165973,-17.12136257,-20.72854918,-17.99514904,-15.51356374,-20.98074905,-11.92085071,-12.75780734,-13.97384513,-18.47465026,-15.58139326,-15.19587106,-13.12878612,-12.94859779,-12.7461024,-16.45144961
12.8315897,77.4267781,Ragi,-10.61197939,-13.41425637,-6.054317768,-12.47082215,-7.280427722,-7.180518308,-8.741424041,-10.76471715,-6.591562614,-11.9003485,-9.046161322,-8.837227549,-11.37274352,-8.787884601,-11.85197068,-16.43596982,-21.19155401,-17.99514904,-16.15103913,-18.53852797,-16.84395154,-13.894421,-12.85852949,-18.47465026,-16.23696424,-13.98764905,-14.64569356,-12.95539706,-12.7461024,-16.45127988
12.8316167,77.42676,Ragi,-10.61197939,-13.41425637,-7.456466825,-12.47082215,-8.662506052,-7.180518308,-8.741424041,-9.635186359,-6.591562614,-11.9003485,-9.046161322,-8.837227549,-11.37274352,-11.90897818,-12.84570905,-16.43596982,-21.19155401,-18.9985714,-16.15103913,-18.78179526,-16.84395154,-13.894421,-11.89427022,-18.47465026,-16.23696424,-13.98764905,-14.64569356,-12.95539706,-18.08054014,-17.53500818
12.8316244,77.4267656,Ragi,-10.61197939,-13.41425637,-7.456466825,-12.47082215,-8.662506052,-7.180518308,-8.741424041,-9.635186359,-6.591562614,-11.9003485,-9.046161322,-8.837227549,-8.634231695,-11.90897818,-12.84570905,-16.43596982,-21.19155401,-18.9985714,-16.15103913,-18.78179526,-16.84395154,-13.894421,-11.89427022,-18.47465026,-16.23696424,-13.98764905,-14.64569356,-15.05527974,-18.08054014,-17.53500818
12.8316248,77.4267793,Ragi,-10.61197939,-13.41425637,-5.063792913,-12.47082215,-8.662506052,-7.180518308,-8.741424041,-9.635186359,-6.591562614,-11.9003485,-9.046161322,-8.837227549,-8.634231695,-8.214384753,-12.84570905,-16.43596982,-21.19155401,-17.11025508,-16.15103913,-18.78179526,-16.84395154,-13.894421,-11.89427022,-18.47465026,-16.23696424,-13.98764905,-14.64569356,-15.05527974,-13.72395547,-17.53500818
12.8316402,77.4267736,Ragi,-10.61197939,-13.41425637,-5.063792913,-9.652991542,-8.662506052,-7.180518308,-8.741424041,-9.635186359,-7.831961559,-11.9003485,-9.046161322,-8.837227549,-8.634231695,-8.214384753,-12.84570905,-16.43596982,-21.19155401,-17.11025508,-12.7978016,-18.78179526,-16.84395154,-13.894421,-11.89427022,-18.50974092,-16.23696424,-13.98764905,-14.64569356,-15.05527974,-13.72395547,-17.53500818
12.8317776,77.4244069,Ragi,-11.06582698,-12.84684446,-13.42796344,-12.88020148,-9.139186074,-11.34311401,-13.64139202,-11.53870104,-12.40214945,-10.0628848,-14.3700033,-9.100022599,-10.61114796,-9.773676913,-10.72497848,-18.4102529,-21.03874667,-18.83402029,-13.59150474,-18.48911675,-16.63104062,-16.46217964,-16.38192437,-17.78860775,-18.50893457,-19.66662266,-13.96916021,-19.22418534,-13.2053331,-14.76117306
12.8317818,77.4243911,Ragi,-11.06582698,-15.18208218,-13.42796344,-12.88020148,-9.139186074,-7.524235745,-12.69725351,-12.7876448,-12.40214945,-10.0628848,-14.80691483,-9.100022599,-10.61114796,-9.773676913,-10.06241799,-18.4102529,-21.29556377,-18.83402029,-13.59150474,-18.48911675,-14.31129947,-13.87266604,-19.41197724,-17.78860775,-18.50893457,-19.91685929,-13.96916021,-19.22418534,-13.2053331,-14.43220059
12.8318234,77.4235817,Ragi,-7.183238905,-8.466997137,-6.594190071,-7.200084371,-8.435648186,-7.24398499,-5.152026187,-4.94449267,-7.722173884,-4.621543835,-7.158382381,-9.183106856,-9.229097129,-8.049927489,-7.195462356,-13.60775079,-16.50495265,-13.51353222,-22.19031345,-12.61708089,-10.06705975,-12.67721323,-13.23835371,-14.20760406,-11.95746964,-12.94415561,-13.18689735,-17.2549785,-16.99159953,-15.2981877
12.8318391,77.4243969,Jowar,-11.06582698,-15.18208218,-11.34982311,-11.77903568,-9.544664225,-7.524235745,-11.73788244,-11.48137611,-11.49176265,-10.34562616,-14.80691483,-9.100022599,-8.914359912,-10.58769784,-9.886247112,-18.4102529,-21.29556377,-17.48997147,-13.39385431,-18.29833728,-14.31129947,-16.16392937,-15.57355825,-18.22480954,-18.19571312,-19.91685929,-13.96916021,-19.64255442,-14.65413138,-16.1989575
12.8318479,77.4243982,Jowar,-11.06582698,-15.18208218,-11.34982311,-11.77903568,-9.544664225,-7.276725617,-11.73788244,-11.48137611,-11.49176265,-10.34562616,-14.80691483,-9.100022599,-8.914359912,-10.58769784,-9.886247112,-18.4102529,-21.29556377,-17.48997147,-13.39385431,-18.29833728,-15.62689113,-16.16392937,-15.57355825,-18.22480954,-18.19571312,-19.91685929,-13.96916021,-19.64255442,-14.65413138,-16.1989575
12.8323017,77.4234867,Tur (Arhar)(Red Gram),-8.99164879,-9.490408715,-9.214857854,-6.480100702,-6.658191147,-7.459259603,-9.478062528,-8.489255562,-8.501941141,-9.17367782,-11.62639708,-10.12631185,-6.756328501,-7.141731097,-8.126204166,-15.33143636,-21.4633927,-16.68366994,-15.61155769,-18.63259151,-20.70802327,-13.14858978,-14.63938853,-14.42319033,-13.21262204,-18.16451171,-15.56316389,-11.87716992,-14.3493526,-20.08175347
