Latitude,Longitude,Name,Crop_Name,Duration,Height,height_numeric,duration_numeric,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
13.1850443,77.6696089,Bangalore Rural,Ragi,Low,Short,1,1,0.405618273,0.38965671,0.174889543,0.491042719,0.216302766,0.512012343,0.303370787,0.013071015,0.445655062,0.566666667,0.164223418,0.190349622,0.134796238,0.207088809,0.012037288,0.028103878,0.043892121,-0.006952965,0.167802947,0.182535103,0.025302115,0.186946011,0.021914008,0.183150183,0.165292842,-0.008358085,0.03365929,0.078972868,0.070412764,0.084873374,0.237533693,-0.00336279,0.107995453,0.360759494,0.016243044,0.010508204,0.017513514,-9.030850687,-10.17058302,-9.447765022,-7.481039472,-6.655490239,-7.872418433,-11.90821943,-12.35818883,-8.296666175,-8.557061067,-10.7279554,-9.936256009,-7.253815227,-7.499477847,-6.76818427,-16.59942573,-14.52094628,-13.9091801,-11.27698153,-13.56571889,-15.50015791,-16.73640686,-16.06189046,-17.40029367,-18.4495661,-18.74260356,-21.01106335,-18.54840779,-21.39871432,-14.92903065
13.1850738,77.6695471,Bangalore Rural,Ragi,Low,Short,1,1,0.373988127,0.411870504,0.174732176,0.511214953,0.209247878,0.517039043,0.31128149,0.013156073,0.444328824,0.588399331,0.171709671,0.234006734,0.243400339,0.268425461,0.010201318,0.026635681,0.043616683,-0.006412005,0.231791012,0.208795486,0.025059102,0.242698478,0.022848719,0.194360524,0.237842617,-0.007439338,0.054833004,0.082007047,0.065517241,0.077186182,0.243422141,-0.007545983,0.107003891,0.375,0.00624524,0.003847328,0.018158329,-7.966584763,-9.22190944,-7.186001156,-5.672908919,-6.655490239,-7.985630056,-10.5147173,-5.442148232,-8.296666175,-6.395986128,-10.92781081,-9.229429322,-7.253815227,-7.737834294,-4.477680119,-14.86223099,-13.54992029,-14.05757465,-11.89824248,-13.56571889,-15.49686432,-15.92364546,-16.20605503,-17.40029367,-18.04118913,-18.77160198,-17.03910192,-18.54840779,-17.28851433,-13.62419574
13.1851689,77.7027739,Bangalore Rural,Ragi,Low,Short,1,1,0.201167599,0.203197868,0.090689655,0.211166786,0.092436975,0.219802888,0.217219416,0.036602403,0.241806452,0.26945548,0.177916504,0.281728173,0.276048714,0.349621305,0.004980164,-0.041277219,0.043000745,-0.001527141,0.17874713,0.010218631,0.044182948,0.050588235,0.01584507,0.187958884,0.370327374,0.046104288,0.018878611,0.085552964,0.112600536,0.081944761,0.373639101,0.007644529,0.472904483,0.425641026,0.047980998,0.121772221,0.034805451,-8.08974316,-7.024172877,-8.897591105,-3.902980159,-3.97270008,-5.825524595,-7.152988359,-8.234647044,-6.383137163,-8.582556593,-5.652636548,-7.242049731,-2.579083172,-5.531851377,-5.091963786,-18.71166239,-18.93099823,-18.10884302,-15.36760616,-16.41250658,-14.36089537,-14.008881,-17.82949276,-16.16596922,-14.10551864,-14.39933402,-15.91820246,-15.23715867,-16.21840642,-12.01279094
13.18523,77.698925,Bangalore Rural,Ragi,Low,Short,1,1,0.115979381,0.118806199,0.077933299,0.126993276,0.073117891,0.123045267,0.117104072,0.041862499,0.134366377,0.083505348,0.12660903,0.129458128,0.120500782,0.113356605,-0.002448704,-0.029536391,0.040172871,-0.004977188,0.126815981,0.016178238,0.049623706,0.07839331,0.019036758,0.127675277,0.149754501,0.010092919,0.088958991,0.068691589,0.117672352,0.078381503,0.174169617,-0.013769363,0.246305419,0.118932039,0.056532958,0.008535242,0.027664181,-4.898564465,-1.043987516,2.062189204,1.257756772,0.036006294,-0.089296822,-0.967802402,1.260140664,-1.046134777,-2.295419162,-1.961268884,-2.124780626,-3.270861528,-2.141997942,0.296833439,-13.20729411,-12.18573675,-11.12228887,-11.06605487,-11.87163129,-10.85743735,-13.73792173,-12.84554238,-17.51188313,-13.45050082,-15.9686618,-13.50104121,-15.0989793,-13.37246705,-13.78541768
13.1852379,77.6977351,Bangalore Rural,Ragi,Low,Short,1,1,0.125571937,0.133900582,0.090348331,0.109598686,0.056561922,0.127448609,0.130141605,0.06445993,0.151965484,0.159353349,0.127493156,0.129098831,0.129444574,0.158902917,-0.009805807,-0.014320082,0.040943789,-0.005556327,0.146189487,0.041648107,0.043411024,0.089668893,0.019097069,0.141668318,0.154189157,0.021221025,0.044116169,0.06668232,0.107158351,0.074290963,0.169535928,0.000511444,0.14042399,0.12414072,0.147282291,0.004398132,0.028853032,-1.314116325,-5.973497886,1.001964135,-0.110942826,0.648971912,0.161858267,-3.81069754,-4.612020576,-1.556890589,-3.06610444,-2.648241662,-3.675954583,0.018213433,-5.731554681,-1.312098899,-16.72705324,-13.5245499,-13.89523536,-12.42217949,-18.60111247,-12.29728312,-15.12542646,-16.54323241,-14.71825255,-15.85226061,-14.2012174,-19.99358714,-10.21746606,-18.58043266,-14.97012862
13.1852853,77.5837109,Bangalore Rural,Ragi,Low,Short,1,1,0.515806988,0.439665472,0.255659641,0.52862634,0.463898917,0.488431877,0.579392232,0.033080909,0.58221819,0.702749891,0.236491778,0.550084175,0.631823204,0.640599676,0.018714556,0.101453002,0.070864198,-0.004263959,0.434620887,0.333612215,0.011105235,0.024237359,0.028099174,0.194418254,0.408052231,0.247252747,0.132285172,0.069244288,0.048201188,0.109716229,0.017422748,0.017218123,0.050218694,0.51169715,0.556790123,0.522661687,0.021630887,-9.517955008,-10.63273466,-10.43223061,-8.46841551,-8.619751613,-5.60244902,-7.772125144,-13.35974692,-6.913505534,-8.876563223,-6.033318953,-7.739117624,-7.435408624,-5.986815349,-6.241813758,-19.20710804,-15.58914751,-16.70501081,-13.55013463,-12.28042549,-12.70869092,-17.58270652,-16.06501385,-11.69251637,-12.15954766,-14.31240332,-16.71274341,-12.4986506,-15.90554982,-12.48465087
13.1852899,77.6985842,Bangalore Rural,Ragi,Low,Short,1,1,0.139513951,0.170212766,0.083808536,0.179983858,0.068083573,0.174844506,0.151596768,0.043354471,0.189565217,0.208183927,0.145521663,0.263501121,0.217563291,0.366004963,-0.004462333,0.022126348,0.039543577,-0.004646647,0.125506073,0.028140014,0.055569216,0.088896952,0.020584096,0.184655886,0.277726856,0.029324335,0.071616486,0.063573086,0.101605759,0.077631882,0.421377003,0.003746303,0.340209616,0.373225152,-0.030335667,0.017474911,0.0257566,-5.968465494,-4.54782337,-9.776814909,-9.609811235,-6.960316137,-6.707363745,-6.517300981,-6.443901176,-4.862170815,-3.877198264,-2.582852893,-9.160334542,-3.795890059,-7.106257663,-4.738943814,-22.78082556,-16.97210667,-16.75153543,-16.86029546,-12.14117862,-15.74209331,-18.01825441,-16.36301359,-13.61516595,-18.00486409,-16.37047228,-13.07902575,-15.42207946,-16.01473805,-12.80609649
13.1853038,77.698613,Bangalore Rural,Redgram,Medium,Medium,2,2,0.159153634,0.177821096,0.084980923,0.174694784,0.065484805,0.195979899,0.193656093,0.039572937,0.209649341,0.180974478,0.148600709,0.209106985,0.190794979,0.272935255,-0.000436643,0.004567369,0.037852719,-0.003111388,0.121600978,0.027225333,0.045194299,0.096579097,0.020505148,0.171646163,0.240141781,0.028054006,0.06692217,0.066481674,0.105548602,0.076569326,0.305882353,-0.00267432,0.314922995,0.270956522,0.013353301,0.010103865,0.025285156,-5.968465494,-2.50781039,-6.5215964,-9.609811235,-6.960316137,-6.707363745,-6.517300981,-6.443901176,-4.862170815,-3.877198264,-2.582852893,-5.962246023,-3.795890059,-4.671300344,-4.738943814,-22.78082556,-17.418806,-18.0021874,-16.86029546,-12.14117862,-15.74209331,-18.01825441,-16.36301359,-13.61516595,-18.00486409,-16.37047228,-11.77056334,-15.42207946,-13.07877526,-12.80609649
13.1853375,77.7039847,Bangalore Rural,Redgram,Medium,Medium,2,2,0.175406872,0.19603321,0.101479188,0.197125257,0.082490272,0.207136237,0.171412824,0.064897147,0.244372118,0.262990697,0.155444402,0.240757042,0.174759358,0.274479167,0.003311868,0.011374318,0.043567116,-0.005430242,0.233093525,0.01357263,0.0494404,0.051493535,0.015349531,0.15775621,0.295081967,0.065316568,0.012412396,0.079209137,0.108621226,0.074582813,0.319042189,0.007574286,0.606959707,0.476116141,0.006991569,0.475286952,0.022119128,-10.88315655,-11.46391246,-7.600034241,-10.81839857,-7.293076706,-5.856236003,-13.15487836,-10.3710073,-8.926689389,-8.196065427,-6.665548934,-9.939611713,-9.519211392,-6.296627373,-6.731382267,-16.21090023,-15.68464195,-15.76294441,-15.03502824,-15.59859359,-18.28171095,-19.70792467,-16.6471499,-16.84570215,-15.4645473,-16.10322584,-14.10659763,-14.42153758,-18.13377052,-12.5332305
13.1853531,77.578543,Bangalore Rural,Ragi,Low,Short,1,1,0.173473357,0.184546137,0.126173489,0.180034958,0.181797288,0.230355666,0.214381335,0.086638429,0.210932025,0.269136808,0.142211339,0.263275158,0.201124649,0.22190408,0.021956939,0.107126982,0.064763732,-0.003791469,0.188032813,0.115687462,0.030165054,0.027244112,0.032136481,0.161413895,0.225457007,0.071856287,0.081223282,0.070246499,0.049382716,0.117477004,0.083844581,0.000640615,0.024390244,0.187810945,0.367341835,-0.010339414,0.032371795,-10.32953476,-5.552505741,-5.527851601,-6.833296362,-6.116929288,-6.442718801,-6.672724587,-5.824298705,-10.06173625,-5.454360309,-6.909989826,-7.301039699,-6.687043656,-2.878812579,-7.225761158,-23.38332954,-23.00369284,-22.84526287,-14.9571668,-16.36573487,-14.51965852,-19.49751533,-18.96212113,-19.99582314,-17.40181927,-19.05699897,-15.92856336,-13.89450628,-13.10526533,-12.40939063
13.1853626,77.5889924,Bangalore Rural,Ragi,Low,Short,1,1,0.224515586,0.322424242,0.167795335,0.399159664,0.257100149,0.410295068,0.374418605,0.404329609,0.478911565,0.486166008,0.215076744,0.422,0.514658678,0.509025271,0.022480886,0.119715176,0.067653277,-0.004739978,0.429051923,0.335607353,0.016073173,0.034193691,0.036098392,0.236917866,0.405590187,0.024513338,0.185374484,0.080199586,0.046926983,0.103306844,0.029089665,0.0339963,0.015735844,0.401296669,0.255298176,0.170179302,0.027956989,-9.359036848,-7.850979399,-11.74744458,-11.49972325,-7.881801094,-9.574428639,-13.34615001,-11.71672056,-8.956172744,-7.028913818,-11.9563226,-6.950388102,-10.5261645,-9.13573545,-10.90624784,-19.09892026,-18.15886865,-19.18654047,-17.09655439,-15.08362449,-15.4515409,-16.88843888,-14.80136209,-15.88747435,-17.54997356,-17.32391791,-15.42324253,-13.6555149,-12.23156458,-13.69140741
13.1853855,77.5889292,Bangalore Rural,Ragi,Low,Short,1,1,0.310596311,0.338323976,0.17740113,0.363857554,0.356158088,0.385949696,0.417649835,0.333215735,0.406968476,0.239832285,0.172184133,0.251675807,0.303087587,0.257369116,0.024269663,0.105727531,0.071796906,-0.008016304,0.38759031,0.306892568,0.019179542,0.036840944,0.034703684,0.204385534,0.355658199,0.029245283,0.190447522,0.075326578,0.051766352,0.106508876,0.030673804,0.056106354,0.01205907,0.389213483,0.202339181,0.170313987,0.027633338,-14.01535578,-7.850979399,-11.87311527,-11.26511938,-7.769250046,-9.574428639,-13.34615001,-13.67681289,-10.66253517,-7.623659287,-10.88491478,-6.809200802,-10.02682638,-9.630081214,-8.276355515,-20.4269237,-18.15886865,-18.61403274,-15.86724056,-13.30654705,-15.4515409,-16.88843888,-15.29293796,-16.90779395,-15.65344673,-17.41806269,-15.94178313,-13.52365613,-11.11314023,-12.61203794
13.1855518,77.6762951,Bangalore Rural,Ragi,Low,Short,1,1,0.112282757,0.120467434,0.077821012,0.11753304,0.077872012,0.115320949,0.096256684,0.03488,0.110240846,0.090023514,0.109021877,0.09777382,0.064568638,0.077181208,0.058096828,0.015753782,0.063536557,-0.002032245,0.126916803,0.108868299,0.040603594,0.098264151,0.018561903,0.145330448,0.113813414,0.006074169,0.028074267,0.073772455,0.08133026,0.079340141,0.228815034,0.006750767,0.285783133,0.394823693,0.291454965,-0.000968242,0.019230769,-13.22719386,-14.81456402,-15.32111084,-13.90980657,-16.64107369,-9.951316981,-10.32227851,-9.936168962,-8.540292944,-11.21044088,-14.28229646,-7.659017955,-6.591264146,-10.69771708,-10.71598742,-22.77362464,-21.74431362,-23.51185688,-20.34199767,-22.55555905,-22.26085454,-20.87703972,-20.51320722,-19.41695031,-18.02189353,-27.74113023,-16.06107583,-16.69216032,-18.41582747,-14.17506607
13.1856579,77.7122827,Bangalore Rural,Ragi,Low,Short,1,1,0.121199324,0.129707113,0.078676943,0.139035266,0.075087204,0.161068045,0.187523347,0.166083916,0.184585174,0.106782107,0.12339077,0.144423361,0.114754098,0.196654719,0.051198412,0.002651039,0.033069399,-0.003345414,0.154049762,0.115802419,0.014066139,0.01683074,0.018274468,0.120912881,0.081356597,0.171597633,0.035463918,0.072598971,0.093114023,0.072586789,0.282726569,0.04720783,0.422394094,0.289846852,0.032441082,0.248784138,0.025558017,-12.22904328,-10.69886207,-9.219033638,-12.98761325,-10.76541371,-8.550691267,-10.62497175,-11.45841812,-9.619464681,-9.631587158,-9.700059389,-10.97740745,-8.667008173,-12.30728944,-7.507307486,-24.02418726,-23.54327285,-19.31536331,-16.07879757,-14.8458853,-16.27880295,-23.91706529,-18.09884845,-17.22841197,-20.07279589,-18.40797428,-17.73902928,-13.49902449,-15.84997678,-14.51951561
13.185695,77.5779783,Bangalore Rural,Ragi,Low,Short,1,1,0.136778116,0.138109625,0.105687857,0.141366009,0.144286072,0.149082007,0.139687571,0.047524752,0.15902965,0.142716777,0.125972006,0.164779874,0.131134021,0.185578331,0.03097579,0.089980472,0.06217121,-0.006837723,0.15275201,0.104749512,0.063838679,0.02430068,0.030592925,0.162162162,0.171090874,0.037550332,0.113512334,0.073809802,0.042862203,0.115258247,0.052346375,0.018567639,0.046356334,0.208503055,0.344974446,-0.006952428,0.02676515,-17.56226763,-15.79110672,-14.5875375,-7.026616778,-10.42105548,-10.22143414,-11.93925938,-11.34508724,-11.90169092,-13.26594545,-13.11326274,-10.47627332,-9.25640647,-9.198926566,-7.220487246,-26.90058379,-26.77853676,-22.21935715,-16.82774098,-18.91514366,-17.0669263,-28.67480374,-19.32617018,-20.97556915,-17.53452165,-26.60776377,-20.16216858,-14.34436272,-18.60962559,-13.25724461
13.1857379,77.7095227,Bangalore Rural,Ragi,Low,Short,1,1,0.177040111,0.141773752,0.079579086,0.12605042,0.068848758,0.101544221,0.055728934,0.109049602,0.145484045,0.221524288,0.132395452,0.112301757,0.086172345,0.164172336,0.02881459,-0.028966903,0.037606368,-0.007288124,0.1687489,0.132743363,0.042969158,0.028534088,0.016235191,0.146826887,0.133894737,0.160127253,0.010890035,0.078281912,0.06974385,0.070577856,0.34817734,0.015225206,0.154989953,0.484766839,0.004852014,0.47954056,0.029785781,-11.78850578,-8.616213355,-8.074470854,0.242960439,-4.001213161,-8.4415521,-10.97680247,-9.00269107,-7.400770994,-8.417904425,-10.50552182,-4.608273435,-7.447138518,-10.96222567,-8.193546222,-22.52183066,-16.93171809,-20.28284535,-14.51825255,-15.36053684,-15.57821285,-18.55868568,-22.67553764,-19.20355611,-22.3588301,-19.29686371,-18.22251252,-12.81657014,-17.06524885,-16.30738248
13.1857602,77.5814649,Bangalore Rural,Ragi,Low,Short,1,1,0.187401575,0.172656039,0.132414095,0.192513369,0.201781241,0.203600097,0.199719364,0.074762121,0.286241434,0.308163265,0.144731764,0.17410628,0.099344978,0.124386482,0.025251566,0.088984187,0.068327578,-0.006863744,0.155570768,0.153100421,0.024294039,0.028589854,0.025915095,0.158998435,0.144832237,0.311349383,0.140605208,0.066438356,0.044461711,0.114349481,0.017735334,0.029623923,0.044366472,0.411411411,0.568091168,0.024564588,0.024836823,-14.89953759,-10.2449192,-13.83007314,-6.271965974,-7.178027837,-9.650900662,-11.92351188,-12.89661642,-8.573714307,-8.944212056,-9.94670166,-8.278630645,-7.854164587,-9.139426529,-7.486422007,-27.12883282,-19.25117613,-21.74929997,-16.58743018,-16.04657336,-19.26074298,-19.95087721,-20.21301373,-18.94993305,-20.17726092,-23.56766713,-18.48875887,-14.06939168,-15.12831271,-16.67006198
