Crop_Name,Duration,Height,Name,duration_numeric,height_numeric,.geo,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15
Eucalyptus,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.31652838,0.288842648,0.379040509,0.378446162,0.311325908,0.148173317,0.161592364,0.11908482,0.546619594,0.18439357,0.01716464,0.177662462,-8.196000496,-11.44793931,-6.942169701,-8.361260834,-10.24176733,-9.05979183,-10.63985377,-9.504382442,-8.435910011,-6.677594852,-9.653063536,-12.93352587,-6.562212219,-9.857946407,-6.238399917,-18.31330679,-17.50447937,-14.82969486,-14.85275871,-17.85953635,-18.39298555,-16.53243992,-18.02054357,-13.03526963,-18.00811307,-16.3857921,-15.2971316,-13.0032336,-15.08599956,-14.05543909
Banana,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.31652838,0.288842648,0.379040509,0.378446162,0.311325908,0.148173317,0.161592364,0.11908482,0.546619594,0.18439357,0.01716464,0.177662462,-8.196000496,-11.44793931,-6.996445921,-5.920740961,-11.12307412,-9.05979183,-10.63985377,-8.786013962,-10.7808779,-6.677594852,-9.653063536,-10.82561132,-5.00791724,-8.029110436,-4.31166413,-18.31330679,-17.50447937,-17.91499526,-16.99898046,-19.00879518,-18.39298555,-16.53243992,-18.59775148,-19.74114047,-18.00811307,-16.3857921,-14.81025066,-12.82469171,-14.93600426,-14.22751302
Papaya,Long,Medium,Ramanagara,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.367700189,0.382582605,0.374648362,0.493965089,0.291463941,0.14264141,0.188528076,0.312668078,0.436808079,0.174936041,0.011054039,0.145455733,-8.526683627,-8.176181783,-13.17870882,-11.62557368,-9.923164239,-9.34829628,-10.8337181,-10.78402208,-12.09800711,-9.789604167,-10.77693103,-5.432652281,-5.79570227,-11.92379154,-8.856901834,-15.36867313,-14.4557421,-19.41644249,-18.26272575,-21.86183867,-17.46172113,-18.12883596,-21.96086603,-18.80833908,-16.02333556,-18.82610649,-15.06852362,-16.15081839,-18.42908589,-17.91677594
Drumstick,Long,Medium,Ramanagara,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.344813526,0.350195408,0.322784334,0.445676625,0.273356557,0.13994512,0.220917508,0.281987466,0.343057424,0.172446162,0.012034914,0.103641503,-11.75485733,-11.00486293,-11.76338356,-10.47019701,-11.84627696,-8.821348292,-8.709340306,-12.33300757,-8.033286033,-12.49340568,-13.07277211,-10.64233807,-7.058996891,-9.255067663,-7.927587847,-19.99890736,-18.18425513,-18.98898079,-17.89628845,-19.29120844,-18.11173134,-19.03347396,-18.52342637,-17.76334489,-17.10493957,-17.26785376,-16.34009167,-14.07245675,-19.56660752,-14.31333053
Papaya,Long,Medium,Ramanagara,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.329513669,0.248537809,0.270066053,0.330304265,0.250588626,0.131709442,0.188593999,0.289517902,0.390441805,0.173536554,0.01172008,0.165944114,-8.284628212,-11.00486293,-9.385331194,-7.898769699,-10.37098404,-7.29842254,-8.107958842,-11.73043544,-8.777117682,-10.35811898,-13.86825177,-4.967448458,-9.368665966,-9.258139272,-6.565883396,-21.90217055,-18.18425513,-16.50439849,-13.96893425,-16.99992459,-18.54293351,-17.91229334,-19.4681235,-18.19926415,-14.97281633,-18.85516481,-12.37702709,-12.72909174,-15.89277966,-14.15799468
Drumstick,Long,Medium,Ramanagara,3,2,"{""type"":""MultiPoint"",""coordinates"":[]}",0.418872774,0.395162284,0.388028711,0.528504312,0.321667224,0.141872525,0.208259419,0.342482366,0.476705313,0.176574752,0.014005701,0.110457346,-8.284628212,-12.42898685,-7.043602498,-7.898769699,-11.4542118,-7.29842254,-9.928973617,-10.19435226,-8.777117682,-8.313472791,-10.80430953,-4.967448458,-6.990215464,-6.742332756,-5.042037491,-21.90217055,-21.93947052,-15.43641267,-13.96893425,-15.20518287,-18.54293351,-16.63430376,-19.38560049,-18.19926415,-13.25592308,-17.59769509,-12.37702709,-13.08955476,-13.66358715,-12.77333509
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.437417388,0.48586899,0.56752944,0.638359308,0.590401947,0.115431599,0.26084733,0.637351334,0.32413426,0.320399612,-0.003657682,0.163469717,-7.9720563,-9.949097292,-6.962470002,-5.325237164,-6.582594521,-8.2432409,-10.23597946,-5.292061739,-8.513472515,-8.085269758,-11.51985549,-7.593618461,-7.362909541,-7.98566587,-5.040834204,-13.37268089,-12.14069072,-13.90988737,-17.20746948,-14.1252974,-10.57738826,-16.60580193,-15.21822114,-13.79065462,-14.55888366,-15.50232439,-13.70377715,-13.33552987,-15.30194928,-13.57047095
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.481418073,0.480356514,0.553549469,0.541291416,0.543911397,0.109947979,0.273248672,0.653806627,0.49213466,0.328910202,-0.004162073,0.183311179,-10.68386924,-9.928882577,-7.992824814,-8.409879871,-7.559180499,-7.569365172,-7.834350993,-7.45885728,-9.248769006,-8.342630408,-9.302844518,-5.540216101,-8.570647317,-7.60267274,-3.818823997,-14.97572549,-13.99714197,-15.96874078,-12.52293052,-15.73630806,-10.85352942,-18.8213531,-14.67224985,-13.1769113,-17.43840388,-14.17285378,-16.93622991,-15.3506866,-17.09302102,-13.17266613
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.481418073,0.480356514,0.553549469,0.541291416,0.543911397,0.109947979,0.273248672,0.653806627,0.49213466,0.328910202,-0.004162073,0.183311179,-6.952560467,-8.011862129,-7.992824814,-8.409879871,-7.854337531,-10.12863801,-7.834350993,-7.45885728,-9.248769006,-8.342630408,-8.488317412,-5.973063105,-8.570647317,-7.60267274,-3.818823997,-14.13862647,-13.76211413,-15.96874078,-12.52293052,-17.37070517,-10.94748512,-18.8213531,-14.67224985,-13.1769113,-17.43840388,-12.72230948,-17.03202583,-15.3506866,-17.09302102,-13.17266613
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.481418073,0.480356514,0.553549469,0.541291416,0.543911397,0.109947979,0.273248672,0.653806627,0.49213466,0.328910202,-0.004162073,0.183311179,-10.41557749,-8.011862129,-8.441932267,-8.409879871,-7.559180499,-10.12863801,-7.47575009,-7.45885728,-8.330855377,-6.478804872,-8.488317412,-5.08136989,-8.570647317,-8.592026159,-3.818823997,-14.17725197,-13.76211413,-13.13145478,-12.52293052,-15.73630806,-10.94748512,-17.50372899,-14.67224985,-12.69095304,-16.53808743,-12.72230948,-19.02990266,-15.3506866,-14.01511028,-13.17266613
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.40590483,0.430527389,0.465646267,0.624791741,0.617919683,0.11147207,0.27456677,0.610183179,0.230874732,0.235088959,-0.004766433,0.174263835,-6.952560467,-5.761691788,-6.864002661,-6.518256216,-8.52931887,-5.418865886,-7.413338188,-6.284130775,-8.130802432,-5.756150989,-12.33071835,-5.973063105,-6.422452849,-8.659337238,-2.609983035,-14.13862647,-11.98440981,-14.32426678,-18.10073932,-17.31683186,-10.5148102,-14.3037844,-16.97170184,-13.69866055,-17.02582214,-11.53695869,-17.03202583,-11.85959495,-13.15880951,-13.37362821
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.336381555,0.416034341,0.42531532,0.477796465,0.583521843,0.1096332,0.244315222,0.587113559,0.565768659,0.349785984,-0.000616605,0.255473763,-11.96334875,-12.2144491,-3.32341146,-8.095341714,-7.433594042,-10.29049623,-9.214006438,-10.20046574,-9.829353221,-6.041659945,-8.047878031,-6.30759562,-10.68203341,-7.223821023,-7.292584708,-15.70548831,-18.3606976,-15.31509363,-16.73291133,-15.70210689,-16.13902722,-19.75608712,-16.16761738,-14.45186218,-16.98908297,-14.99058596,-13.7181268,-14.6320081,-18.05547936,-15.04893007
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.336381555,0.416034341,0.42531532,0.477796465,0.583521843,0.1096332,0.244315222,0.587113559,0.565768659,0.349785984,-0.000616605,0.255473763,-11.96334875,-12.2144491,-3.32341146,-8.095341714,-7.433594042,-10.29049623,-9.214006438,-10.20046574,-9.829353221,-6.225561749,-8.047878031,-6.30759562,-10.68203341,-7.223821023,-7.292584708,-15.70548831,-18.3606976,-15.31509363,-16.73291133,-15.70210689,-16.13902722,-19.75608712,-16.16761738,-14.45186218,-20.41590598,-14.99058596,-13.7181268,-14.6320081,-18.05547936,-15.04893007
Banana,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.322292417,0.384080142,0.575110614,0.445305735,0.346265912,0.148941576,0.22613661,0.292505682,0.275434559,0.342148483,0.151140556,0.041833755,-9.066930234,-11.73407293,-9.371600335,-9.669359395,-8.768955056,-6.097756427,-8.731855874,-9.53510305,-6.749605588,-9.534076325,-8.21549039,-7.119779488,-9.364452329,-8.138558545,-9.915744114,-15.98642797,-19.24995423,-15.16369675,-19.74860927,-17.25431515,-19.76626993,-16.27495211,-16.37747691,-11.84302803,-14.86989838,-18.51824398,-13.73846007,-17.0929883,-15.17636099,-17.71384448
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.360699296,0.436374903,0.385566235,0.369996101,0.681842923,0.369875222,0.196693093,0.349056661,0.430021256,0.363682002,0.149435222,0.051892981,-8.624087035,-6.681130132,-5.267354243,-8.950286364,-6.353816397,-6.913697897,-8.800042326,-11.82112443,-7.403976305,-6.134375038,-8.035200179,-10.29426016,-7.046842515,-5.300603478,-5.307747557,-20.08023001,-18.89858463,-16.79270629,-12.09663409,-16.57284512,-15.02350034,-15.20963915,-15.00057431,-18.75992477,-16.54488852,-13.81636685,-12.70620878,-15.33262373,-15.41129991,-15.31951138
Teak,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.301716059,0.33605963,0.414401382,0.275981963,0.487000167,0.267961115,0.232403204,0.279465318,0.276609543,0.346642077,0.134880155,0.056268118,-6.630511683,-8.588138231,-9.354114136,-7.147125909,-6.970331023,-12.8862752,-9.986613274,-8.438861594,-7.819100631,-3.694205174,-5.827114759,-7.62346384,-8.115850358,-5.929612761,-7.472434612,-15.75705947,-15.63778269,-13.97555458,-13.9663712,-15.65873881,-11.40691255,-20.67240981,-14.99349121,-14.64923104,-13.64038334,-15.47088253,-16.88834484,-15.83947184,-14.35281137,-14.46027969
Teak,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.277255595,0.319426745,0.392669946,0.269897819,0.505913377,0.293452591,0.242998153,0.319434702,0.287225102,0.385809928,0.149225175,0.072654188,-7.195525801,-8.553541957,-8.258961292,-7.143123671,-9.311738823,-12.8862752,-8.535459217,-10.55437584,-6.709464879,-5.516572211,-4.970647532,-12.32424137,-6.241885669,-6.441116661,-8.395394575,-19.41237643,-14.23282483,-15.19534871,-13.58145633,-19.11507114,-11.40691255,-17.98664822,-15.12624621,-14.57404076,-15.83850364,-14.28211475,-13.81403748,-19.50132981,-14.93948619,-13.64215916
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.311056793,0.422822118,0.633525789,0.506833494,0.674506783,0.359258682,0.353776157,0.372804791,0.426508152,0.482239157,0.175191954,0.423130625,-7.356046112,-9.825279631,-7.072328939,-7.67513345,-11.80150886,-9.880237392,-10.17293066,-9.990506286,-8.870313677,-5.201864933,-10.56865196,-11.42656737,-10.07338385,-8.431141862,-5.395011029,-17.42870486,-16.96214396,-15.21867818,-17.25261617,-16.01965447,-15.10317934,-15.62220859,-14.79243948,-17.41457193,-14.82564708,-15.76513776,-14.77527816,-15.20875628,-14.20620989,-14.25815281
Coconut,Long,Tall,Ramanagara,3,3,"{""type"":""MultiPoint"",""coordinates"":[]}",0.324519575,0.399629354,0.465173811,0.536811411,0.602604747,0.343528718,0.265625983,0.361016214,0.364974052,0.4306826,0.153147072,0.110607758,-9.425549163,-9.218149241,-8.544634434,-7.143525941,-9.463246214,-8.64597381,-6.454496415,-7.91697243,-10.47898081,-6.135695655,-5.979012467,-7.980243019,-9.173958716,-12.60842623,-5.213297593,-17.4729872,-19.35779916,-13.25380447,-15.08616473,-14.29460103,-14.02276096,-12.01359339,-15.99362616,-13.92119983,-14.97003869,-14.88353626,-12.85666074,-12.48317754,-8.939465579,-16.46007677
